                        x                    pi(x)      Delta(x)
                        1.281                    0     +0.5249067983083278438514302412031698615317
                        1.282                    0     +0.5234661631661274284281544004124003864983
                        1.283                    0     +0.5220269601620818711612412299662652758368
                        1.284                    0     +0.5205891864129490791684016338074307056196
                        1.285                    0     +0.5191528390437055547736086427702549650643
                        1.286                    0     +0.5177179151875164380425638987620577791074
                        1.287                    0     +0.5162844119857056818797783380984657230469
                        1.288                    0     +0.5148523265877263589981098969617536609919
                        1.289                    0     +0.5134216561511311000757150039748701910232
                        1.290                    0     +0.5119923978415426624194568451435061348243
                        1.291                    0     +0.5105645488326246284578720929979112375786
                        1.292                    0     +0.5091381063060522333908291910275442746796
                        1.293                    0     +0.5077130674514833213270155811015597231749
                        1.294                    0     +0.5062894294665294292443686584726451991023
                        1.295                    0     +0.5048671895567269981125159374616892845657
                        1.296                    0     +0.5034463449355087105202141106469523287818
                        1.297                    0     +0.5020268928241749541546745833194763050424
                        1.298                    0     +0.5006088304518654104835348594717284861271
                        1.299                    0     +0.4991921550555307679940810403986010237126
                        1.300                    0     +0.4977768638799045593481468652474308102464
                        1.301                    0     +0.4963629541774751218149093661084629050915
                        1.302                    0     +0.4949504232084576803475705184684555983218
                        1.303                    0     +0.4935392682407665526736584294788164556021
                        1.304                    0     +0.4921294865499874757724008083922348193764
                        1.305                    0     +0.4907210754193500531163178910441041362133
                        1.306                    0     +0.4893140321397003220578518272260689476945
                        1.307                    0     +0.4879083540094734407454949685444066057443
                        1.308                    0     +0.4865040383346664939575006957113732361902
                        1.309                    0     +0.4851010824288114172448575775422097260110
                        1.310                    0     +0.4836994836129480387787809371198841291623
                        1.311                    0     +0.4822992392155972383015254900891199874613
                        1.312                    0     +0.4809003465727342225828487908586336738993
                        1.313                    0     +0.4795028030277619167879579482089104891254
                        1.314                    0     +0.4781066059314844711662516245934169059701
                        1.315                    0     +0.4767117526420808824736258840555474350435
                        1.316                    0     +0.4753182405250787295445461715464836567364
                        1.317                    0     +0.4739260669533280224334987595304249786241
                        1.318                    0     +0.4725352293069751645488235527507306483449
                        1.319                    0     +0.4711457249734370272052963642003280371192
                        1.320                    0     +0.4697575513473751360251728286507297626030
                        1.321                    0     +0.4683707058306699686207281671779390383073
                        1.322                    0     +0.4669851858323953629946272182972545788912
                        1.323                    0     +0.4656009887687930360977376685960435473076
                        1.324                    0     +0.4642181120632472119872564068556520079239
                        1.325                    0     +0.4628365531462593590312545480220684175871
                        1.326                    0     +0.4614563094554230356089610831919159178062
                        1.327                    0     +0.4600773784353988437592984639400377316826
                        1.328                    0     +0.4586997575378894902333558774946865379956
                        1.329                    0     +0.4573234442216149544096376658975434186158
                        1.330                    0     +0.4559484359522877625340554385748256434514
                        1.331                    0     +0.4545747302025883677497430736846433720708
                        1.332                    0     +0.4532023244521406353848641479829332387634
                        1.333                    0     +0.4518312161874874329696515253610363173960
                        1.334                    0     +0.4504614029020663244569690170649609178252
                        1.335                    0     +0.4490928820961853681237153471499492953714
                        1.336                    0     +0.4477256512769990176334012590324893188572
                        1.337                    0     +0.4463597079584841257432216260018381614007
                        1.338                    0     +0.4449950496614160501419160220291002793078
                        1.339                    0     +0.4436316739133448609076635098167218916727
                        1.340                    0     +0.4422695782485716490781905502957465498046
                        1.341                    0     +0.4409087602081249358281850701209392954353
                        1.342                    0     +0.4395492173397371817520049784510347462751
                        1.343                    0     +0.4381909471978213957525459376560822888595
                        1.344                    0     +0.4368339473434478430399910997059189756558
                        1.345                    0     +0.4354782153443208517470049549289659827871
                        1.346                    0     +0.4341237487747557176697545355899100126812
                        1.347                    0     +0.4327705452156557066469441052640510519150
                        1.348                    0     +0.4314186022544891540918342771845391636081
                        1.349                    0     +0.4300679174852666611949833704685294294550
                        1.350                    0     +0.4287184885085183873181978612233563462357
                        1.351                    0     +0.4273703129312714381029101438087193473875
                        1.352                    0     +0.4260233883670273488189156127895956279997
                        1.353                    0     +0.4246777124357396624820974341593637038396
                        1.354                    0     +0.4233332827637916022724464200524796806335
                        1.355                    0     +0.4219900969839738377863452782254528979115
                        1.356                    0     +0.4206481527354623446597312989121658060006
                        1.357                    0     +0.4193074476637963571013793891354213967031
                        1.358                    0     +0.4179679794208564128781583891022547483527
                        1.359                    0     +0.4166297456648424902967079268961661341000
                        1.360                    0     +0.4152927440602522367285608053322265587626
                        1.361                    0     +0.4139569722778592882282971866533268914303
                        1.362                    0     +0.4126224279946916797968617638832148284648
                        1.363                    0     +0.4112891088940103458447037983610345419719
                        1.364                    0     +0.4099570126652877104119124765984892072803
                        1.365                    0     +0.4086261370041863667050166105569165001444
                        1.366                    0     +0.4072964796125378455125983872744519851814
                        1.367                    0     +0.4059680381983214720643357791321821347051
                        1.368                    0     +0.4046408104756433109005374667016464004649
                        1.369                    0     +0.4033147941647151983216678129604018741355
                        1.370                    0     +0.4019899869918338619897776707285021401137
                        1.371                    0     +0.4006663866893601272561597136396498146637
                        1.372                    0     +0.3993439909956982097919346631388523714235
                        1.373                    0     +0.3980227976552750941006473473726827481932
                        1.374                    0     +0.3967028044185199974943090790515804730996
                        1.375                    0     +0.3953840090418439191166654842298148038845
                        1.376                    0     +0.3940664092876192735997967574595285025399
                        1.377                    0     +0.3927500029241596089424704651073971398895
                        1.378                    0     +0.3914347877256994082009655711444429049965
                        1.379                    0     +0.3901207614723739745853704209987127266715
                        1.380                    0     +0.3888079219501993995566270908696437461463
                        1.381                    0     +0.3874962669510526135218498932269912439774
                        1.382                    0     +0.3861857942726515187276870242600645980745
                        1.383                    0     +0.3848765017185352039537214452340697026852
                        1.384                    0     +0.3835683870980442406101202057109806098197
                        1.385                    0     +0.3822614482263010598459406403024540232262
                        1.386                    0     +0.3809556829241904102766872991866802070618
                        1.387                    0     +0.3796510890183398959418852024358456373542
                        1.388                    0     +0.3783476643411005941055931349197739602441
                        1.389                    0     +0.3770454067305277525149253170918620681904
                        1.390                    0     +0.3757443140303615657337809915132188356261
                        1.391                    0     +0.3744443840900080301710993489936922426239
                        1.392                    0     +0.3731456147645198774250618744702264069341
                        1.393                    0     +0.3718480039145775855667557132379790864942
                        1.394                    0     +0.3705515494064704679888901342263411651121
                        1.395                    0     +0.3692562491120778394472236892990674140254
                        1.396                    0     +0.3679621009088502589244123259897931246977
